,EVENT_ID,ORIGIN_TIME,STATION,NETWORK,ELON,ELAT,EDEP,PTIME,STIME,PSTIME,PST_ERR,PS_FREQ,SLON,SLAT,SEVL
2533,2_52245,2010-01-24T12:16:37.270000Z,FONI,Z1,-176.2785,-21.7908,182.5393,38.73,66.51000213623047,52.7334098815918,1.1331225633621216,4.564429759979248,-174.630798,-20.2796,19.0
2534,2_52245,2010-01-24T12:16:36.740002Z,NMKA,Z1,-176.2785,-21.7908,182.5393,38.26,65.15999603271484,49.78158950805664,0.6951581239700317,3.039597272872925,-174.798004,-20.2596,22.0
2535,2_52504,2010-03-01T20:53:13.339996Z,TNGA,Z1,-178.9261,-18.0203,725.3375,97.66,,107.93273162841795,1.163636326789856,6.260185241699219,-175.325104,-21.063499,25.0
2536,2_52504,2010-03-01T20:53:13.760002Z,C16W,YL,-178.9261,-18.0203,725.3375,90.24,,102.64605712890624,1.454545497894287,3.676815032958984,-176.828903,-20.5704,-2213.0
2537,2_52504,2010-03-01T20:53:13.169998Z,VAVP,Z1,-178.9261,-18.0203,725.3375,98.83,,111.2360610961914,0.581818163394928,12.50390625,-173.961395,-18.601999,65.0
2538,2_52687,2010-01-22T08:00:03.559998Z,FONI,Z1,-177.8659,-20.4702,537.61,73.44,133.39999389648438,80.88813781738281,0.4054766595363617,5.25,-174.630798,-20.2796,19.0
2539,2_52687,2010-01-22T08:00:03.779999Z,NMKA,Z1,-177.8659,-20.4702,537.61,73.22,132.04978942871094,84.55232238769531,0.6484295725822449,13.850000381469728,-174.798004,-20.2596,22.0
2540,2_52394,2010-02-15T05:59:21.099998Z,A02W,YL,-177.6854,-20.8747,569.8415,70.9,,82.18804168701172,0.3290513753890991,1.86311137676239,-175.789993,-21.4895,-2015.0
2541,2_52394,2010-02-15T05:59:20.510002Z,TNGA,Z1,-177.6854,-20.8747,569.8415,72.49,125.23851013183594,82.90057373046875,0.1096837967634201,2.506927251815796,-175.325104,-21.063499,25.0
2542,2_52394,2010-02-15T05:59:20.639999Z,C07W,YL,-177.6854,-20.8747,569.8415,70.36,131.22512817382812,79.4543685913086,0.2193675935268402,10.478821754455566,-176.097397,-19.992201,-2648.0
2543,2_52394,2010-02-15T05:59:20.730003Z,NMKA,Z1,-177.6854,-20.8747,569.8415,75.27,129.334716796875,86.11930847167969,0.1096837967634201,4.855441093444824,-174.798004,-20.2596,22.0
2544,2_52394,2010-02-15T05:59:20.589996Z,VAVP,Z1,-177.6854,-20.8747,569.8415,84.41,146.37196350097656,89.7751235961914,0.2193675935268402,8.18933391571045,-173.961395,-18.601999,65.0
2545,2_52182,2010-01-20T19:53:14.599998Z,PNGI,Z1,-178.2896,-17.7307,577.5739,85.4,152.19000244140625,96.05136108398438,0.428804337978363,3.0788590908050537,-174.350006,-19.8248,18.0
2546,2_52329,2010-03-19T10:34:53.330002Z,PNGI,Z1,-176.0555,-21.0703,200.9742,38.67,68.56999969482422,51.1497917175293,0.542391300201416,3.0385634899139404,-174.350006,-19.8248,18.0
2547,2_52329,2010-03-19T10:34:53.250000Z,VAVP,Z1,-176.0555,-21.0703,200.9742,49.75,89.3699951171875,66.34162902832031,0.2356521636247635,10.00620174407959,-173.961395,-18.601999,65.0
2548,2_52329,2010-03-19T10:34:53.500000Z,TNGA,Z1,-176.0555,-21.0703,200.9742,28.5,50.83000183105469,39.66654586791992,0.5855928659439087,3.702554702758789,-175.325104,-21.063499,25.0
2549,2_52329,2010-03-19T10:34:53.559999Z,EUAP,Z1,-176.0555,-21.0703,200.9742,30.44,52.37000274658203,39.96220016479492,0.538626492023468,3.297445297241211,-174.912292,-21.442699,158.0
2550,2_52329,2010-03-19T10:34:54.020000Z,NMKA,Z1,-176.0555,-21.0703,200.9742,32.98,59.09999847412109,44.77369689941406,0.5924506187438965,4.468977928161621,-174.798004,-20.2596,22.0
2551,2_52444,2010-03-08T16:03:09.830002Z,VAVP,Z1,-178.5067,-17.5461,551.3681,85.17,152.29998779296875,96.51319885253906,0.6071776747703552,9.821426391601562,-173.961395,-18.601999,65.0
2552,2_52444,2010-03-08T16:03:09.379997Z,S02W,YL,-178.5067,-17.5461,551.3681,85.62,,98.87784576416016,0.0929152145981788,1.3526315689086914,-176.897995,-21.799101,-2043.0
2553,2_52444,2010-03-08T16:03:09.620003Z,B14W,YL,-178.5067,-17.5461,551.3681,67.38,,79.15119171142578,0.9291521310806274,1.5557210445404053,-177.987701,-19.0427,-2219.0
2554,2_52444,2010-03-08T16:03:09.870003Z,PNGI,Z1,-178.5067,-17.5461,551.3681,86.13,154.20782470703125,100.50282287597656,,1.9164185523986816,-174.350006,-19.8248,18.0
2555,2_52444,2010-03-08T16:03:09.669998Z,N02W,YL,-178.5067,-17.5461,551.3681,67.33,,79.1011962890625,0.8362369537353516,1.5273627042770386,-176.403198,-18.749001,-2717.0
2556,2_52444,2010-03-08T16:03:09.309998Z,C16W,YL,-178.5067,-17.5461,551.3681,77.69,,87.69580841064453,1.1149826049804688,1.3526315689086914,-176.828903,-20.5704,-2213.0
2557,2_52444,2010-03-08T16:03:09.510002Z,A06W,YL,-178.5067,-17.5461,551.3681,84.49,,98.39824676513672,0.3716608583927154,1.8894736766815183,-176.321594,-21.303699,-2137.0
2558,2_52444,2010-03-08T16:03:09.639999Z,C03W,YL,-178.5067,-17.5461,551.3681,84.36,,89.8129653930664,0.7433217167854309,2.893860340118408,-175.716705,-20.941401,-2084.0
2559,2_52444,2010-03-08T16:03:09.220001Z,C01W,YL,-178.5067,-17.5461,551.3681,84.78,,99.9890594482422,0.1858304291963577,3.3248119354248047,-175.220398,-20.5308,-1655.0
2560,2_52266,2010-01-30T10:58:09.290001Z,PNGI,Z1,-177.462,-19.8213,578.2325,76.71,136.38999938964844,84.97687530517578,0.2362055331468582,4.774253845214844,-174.350006,-19.8248,18.0
2561,2_52266,2010-01-30T10:58:09.690002Z,NMKA,Z1,-177.462,-19.8213,578.2325,74.31,133.13999938964844,84.77220916748047,0.3894762992858886,5.207089424133301,-174.798004,-20.2596,22.0
2562,2_52266,2010-01-30T10:58:09.029999Z,TNGA,Z1,-177.462,-19.8213,578.2325,73.97,130.8800048828125,83.44762420654297,0.8359782695770264,3.3399252891540527,-175.325104,-21.063499,25.0
2563,2_52381,2010-04-07T01:44:26.930000Z,FONI,Z1,-177.1994,-19.269,556.3945,73.07,130.5500030517578,81.27681732177734,0.3062450587749481,7.927742004394531,-174.630798,-20.2796,19.0
2564,2_52381,2010-04-07T01:44:27.019997Z,VAVP,Z1,-177.1994,-19.269,556.3945,75.98,136.44000244140625,87.23896789550781,0.2385177910327911,2.725503921508789,-173.961395,-18.601999,65.0
2565,2_52381,2010-04-07T01:44:26.470001Z,B11W,YL,-177.1994,-19.269,556.3945,66.53,,77.85411071777344,0.2371541559696197,2.0360186100006104,-176.480392,-19.5804,-2060.0
2566,2_52381,2010-04-07T01:44:26.980003Z,EUAP,Z1,-177.1994,-19.269,556.3945,75.02,133.8699951171875,85.64196014404297,0.7012351751327515,3.162639141082764,-174.912292,-21.442699,158.0
2567,2_52381,2010-04-07T01:44:27.300003Z,TNGA,Z1,-177.1994,-19.269,556.3945,72.7,130.6644287109375,83.07549285888672,0.4743083119392395,5.295971870422363,-175.325104,-21.063499,25.0
2568,2_52381,2010-04-07T01:44:26.449997Z,C05W,YL,-177.1994,-19.269,556.3945,69.55,,80.24169921875,0.5533596873283386,2.9845638275146484,-175.951904,-20.6012,-2289.0
2569,2_52381,2010-04-07T01:44:26.699997Z,B14W,YL,-177.1994,-19.269,556.3945,66.3,,76.83360290527344,0.6324110627174377,1.5143179893493652,-177.987701,-19.0427,-2219.0
2570,2_52381,2010-04-07T01:44:27.250000Z,PNGI,Z1,-177.1994,-19.269,556.3945,73.75,132.11000061035156,84.2748794555664,0.1548616588115692,5.212306022644043,-174.350006,-19.8248,18.0
2571,2_52381,2010-04-07T01:44:27.010002Z,C01W,YL,-177.1994,-19.269,556.3945,71.99,132.16786193847656,83.47221374511719,0.2371541559696197,4.55100679397583,-175.220398,-20.5308,-1655.0
2572,2_52381,2010-04-07T01:44:27.070000Z,F02W,YL,-177.1994,-19.269,556.3945,75.93,135.42999267578125,85.423828125,,3.443624258041382,-174.438797,-21.349199,-2602.0
2573,2_52528,2010-04-03T17:13:05.060001Z,VAVP,Z1,-176.0549,-19.9388,280.2422,47.94,87.27999877929688,55.99479675292969,0.0719272717833519,3.270676374435425,-173.961395,-18.601999,65.0
2574,2_52528,2010-04-03T17:13:04.610001Z,FONI,Z1,-176.0549,-19.9388,280.2422,40.39,,50.58696746826172,1.0303030014038086,2.7938621044158936,-174.630798,-20.2796,19.0
